neighbors,iris_verginica, iris_setosa, iris_versicolor
1,0.920807453416149, 1.0, 0.9333333333333333
2,0.9066091954022988, 1.0, 0.956442831215971
3,0.9391025641025641, 1.0, 0.9424342105263157
4,0.9242857142857144, 1.0, 0.9833333333333334
5,0.9391025641025641, 1.0, 0.9424342105263157
6,0.9242857142857144, 1.0, 0.9833333333333334
7,0.9791666666666667, 1.0, 0.984375
8,0.9078249336870026, 1.0, 1.0
9,0.9437781109445278, 1.0, 0.975
10,0.9238505747126436, 1.0, 0.9736842105263157
